
TimeCreated         Id LevelDisplayName Message                                                                                                        
-----------         -- ---------------- -------                                                                                                        
13/07/2023 08:31:06 41 Critique         Le système a redémarré sans s’arrêter correctement au préalable. Cette erreur peut survenir si le système ne...
12/07/2023 21:01:29 41 Critique         Le système a redémarré sans s’arrêter correctement au préalable. Cette erreur peut survenir si le système ne...
12/07/2023 13:19:28 41 Critique         Le système a redémarré sans s’arrêter correctement au préalable. Cette erreur peut survenir si le système ne...
16/05/2023 06:12:01 41 Critique         Le système a redémarré sans s’arrêter correctement au préalable. Cette erreur peut survenir si le système ne...
04/05/2023 13:14:35 41 Critique         Le système a redémarré sans s’arrêter correctement au préalable. Cette erreur peut survenir si le système ne...
03/05/2023 17:50:58 41 Critique         Le système a redémarré sans s’arrêter correctement au préalable. Cette erreur peut survenir si le système ne...
20/04/2023 10:17:34 41 Critique         Le système a redémarré sans s’arrêter correctement au préalable. Cette erreur peut survenir si le système ne...
23/03/2023 19:14:50 41 Critique         Le système a redémarré sans s’arrêter correctement au préalable. Cette erreur peut survenir si le système ne...
07/03/2023 11:32:14 41 Critique         Le système a redémarré sans s’arrêter correctement au préalable. Cette erreur peut survenir si le système ne...
07/03/2023 10:43:15 41 Critique         Le système a redémarré sans s’arrêter correctement au préalable. Cette erreur peut survenir si le système ne...
22/02/2023 16:55:48 41 Critique         Le système a redémarré sans s’arrêter correctement au préalable. Cette erreur peut survenir si le système ne...
20/02/2023 19:26:43 41 Critique         Le système a redémarré sans s’arrêter correctement au préalable. Cette erreur peut survenir si le système ne...
18/02/2023 00:01:24 41 Critique         Le système a redémarré sans s’arrêter correctement au préalable. Cette erreur peut survenir si le système ne...
15/02/2023 22:33:02 41 Critique         Le système a redémarré sans s’arrêter correctement au préalable. Cette erreur peut survenir si le système ne...
08/01/2023 16:10:27 41 Critique         Le système a redémarré sans s’arrêter correctement au préalable. Cette erreur peut survenir si le système ne...
31/12/2022 23:12:17 41 Critique         Le système a redémarré sans s’arrêter correctement au préalable. Cette erreur peut survenir si le système ne...
18/12/2022 09:54:06 41 Critique         Le système a redémarré sans s’arrêter correctement au préalable. Cette erreur peut survenir si le système ne...


